scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
swatTemporalGNN_Attention_(no mean)_normal_KL06_133552_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.24,0.35,0.39,0.4149999999999999,0.37,6412987,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_133934_5_0.0001_2_window_5,swat,2,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.29,0.38,0.39,0.4,0.37699999999999995,6412987,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_134315_5_0.0001_3_window_5,swat,3,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.26,0.36,0.385,0.39499999999999996,0.36350000000000005,6412987,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_134716_5_0.0001_5_window_5,swat,5,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.28,0.35,0.355,0.40499999999999997,0.3595,6412987,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_183152_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.1,0.13999999999999999,0.16,0.24,0.176,6412987,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_183739_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.05,0.09,0.125,0.215,0.1375,6412987,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_190218_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.01,0.04,0.05500000000000001,0.13,0.0645,6412987,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_190821_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.28,0.42000000000000004,0.5199999999999999,0.595,0.48649999999999993,6412987,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_192647_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.28,0.31,0.365,0.45999999999999996,0.37150000000000005,8537828,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_200424_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.2,0.255,0.29500000000000004,0.39499999999999996,0.3135,8537828,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_200923_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.35,0.39,0.43,0.53,0.45000000000000007,6412987,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_201932_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.36,0.36,0.38,0.43999999999999995,0.39,8537828,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_202459_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.32999999999999996,0.4000000000000001,0.45249999999999996,0.515,0.44800000000000006,8539876,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL06_203024_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.11499999999999999,0.16249999999999998,0.175,0.24499999999999997,0.18725,8539876,10,0,1000,0,0,256,4
