scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
nonlinearTemporalGNN_Attention_fourier_(no mean)_normal_KL15_004636_7_0.0001_2_window_7,nonlinear,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.83,0.8566666666666669,0.9479999999999998,1.0,0.9394666666666668,57109,7,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_004732_7_0.0001_1_window_7,nonlinear,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.86,0.8683333333333333,0.9678333333333332,1.0,0.9492,72281,7,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_004836_7_0.0001_2_window_7,nonlinear,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.85,0.8683333333333333,0.9648333333333332,1.0,0.9485666666666667,72281,7,0,100,0,0,32,2
nonlineardeep_mlp_(no mean)_normal_KL15_004945_10_0.0001_1_window_10,nonlinear,1,normal_KL,deep_mlp,32,2,0.0001,0.86,0.895,0.9633333333333333,1.0,0.9516666666666665,601080,10,0,100,0,0,32,2
nonlineardeep_mlp_(no mean)_normal_KL15_005128_10_0.0001_2_window_10,nonlinear,2,normal_KL,deep_mlp,32,2,0.0001,0.86,0.9166666666666667,0.9584999999999999,1.0,0.9549333333333333,601080,10,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_(no mean)_normal_KL15_005316_10_0.0001_1_window_10,nonlinear,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.8,0.8416666666666669,0.95,1.0,0.9300833333333334,57205,10,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_(no mean)_normal_KL15_005417_10_0.0001_2_window_10,nonlinear,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.81,0.8450000000000002,0.9521666666666665,1.0,0.9344666666666667,57205,10,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_fourier_(no mean)_normal_KL15_005519_10_0.0001_1_window_10,nonlinear,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.8,0.8416666666666669,0.95,1.0,0.9300833333333334,57205,10,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_fourier_(no mean)_normal_KL15_005621_10_0.0001_2_window_10,nonlinear,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.81,0.8450000000000002,0.9521666666666665,1.0,0.9339666666666666,57205,10,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_005725_10_0.0001_1_window_10,nonlinear,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.87,0.8816666666666667,0.9698333333333332,1.0,0.9502333333333333,72441,10,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_005838_10_0.0001_2_window_10,nonlinear,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.87,0.8816666666666667,0.9706666666666667,1.0,0.9502333333333333,72441,10,0,100,0,0,32,2
20 vars
nonlineardeep_mlp_(no mean)_normal_KL15_054454_1_0.0001_1_window_1,nonlinear,1,normal_KL,deep_mlp,32,2,0.0001,0.93,0.8899999999999999,0.8749999999999997,0.8961825396825394,0.8851436507936506,117900,1,0,100,0,0,32,2
nonlineardeep_mlp_(no mean)_normal_KL15_054540_1_0.0001_2_window_1,nonlinear,2,normal_KL,deep_mlp,32,2,0.0001,0.94,0.8766666666666666,0.8643333333333328,0.8999484126984123,0.8836321428571428,117900,1,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_(no mean)_normal_KL15_054626_1_0.0001_1_window_1,nonlinear,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.91,0.87,0.8489999999999996,0.8854642857142856,0.8685126984126983,146755,1,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_(no mean)_normal_KL15_054712_1_0.0001_2_window_1,nonlinear,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.9,0.88,0.8479999999999999,0.8935039682539682,0.8703507936507936,146755,1,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_fourier_(no mean)_normal_KL15_054800_1_0.0001_1_window_1,nonlinear,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.91,0.87,0.8489999999999996,0.8854642857142856,0.8685126984126983,146755,1,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_fourier_(no mean)_normal_KL15_054845_1_0.0001_2_window_1,nonlinear,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.9,0.88,0.8479999999999999,0.8935039682539682,0.8703507936507936,146755,1,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_054932_1_0.0001_1_window_1,nonlinear,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.93,0.8583333333333334,0.8336666666666663,0.8851309523809521,0.8680408730158728,185491,1,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_055023_1_0.0001_2_window_1,nonlinear,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.9,0.8766666666666667,0.8561666666666663,0.8832420634920634,0.8672952380952381,185491,1,0,100,0,0,32,2
nonlineardeep_mlp_(no mean)_normal_KL15_055116_5_0.0001_1_window_5,nonlinear,1,normal_KL,deep_mlp,32,2,0.0001,0.96,0.9016666666666668,0.8768333333333329,0.9035873015873015,0.8950615079365077,589500,5,0,100,0,0,32,2
nonlineardeep_mlp_(no mean)_normal_KL15_055229_5_0.0001_2_window_5,nonlinear,2,normal_KL,deep_mlp,32,2,0.0001,0.93,0.9133333333333334,0.8753333333333329,0.9090873015873013,0.8927210317460318,589500,5,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_(no mean)_normal_KL15_055342_5_0.0001_1_window_5,nonlinear,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.92,0.8583333333333334,0.838833333333333,0.8932222222222218,0.8687472222222222,146883,5,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_(no mean)_normal_KL15_055437_5_0.0001_2_window_5,nonlinear,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.93,0.8716666666666667,0.8596666666666662,0.8910873015873012,0.8733888888888887,146883,5,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_fourier_(no mean)_normal_KL15_055531_5_0.0001_1_window_5,nonlinear,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.92,0.8583333333333334,0.838833333333333,0.8952222222222218,0.8691888888888888,146883,5,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_fourier_(no mean)_normal_KL15_055624_5_0.0001_2_window_5,nonlinear,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.94,0.875,0.8609999999999997,0.8910873015873012,0.8747126984126983,146883,5,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_055718_5_0.0001_1_window_5,nonlinear,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.94,0.8766666666666666,0.8673333333333331,0.9102499999999997,0.8870888888888888,185683,5,0,100,0,0,32,2
